customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
42df6ec9-ba71-4d56-af85-f25528eecfd8,Ansh Shere,ansh_shere@gmail.com,08518457646,Karaikudi,2023-05-21,True,Mexican,76,4.23
8a636c9a-ee84-4185-bb2c-7e985de2f26d,Nikita Pingle,nikita_pingle@gmail.com,8381807910,Shimla,2023-02-19,True,Mexican,47,4.87
a523a177-1251-4a80-86fd-203384a217eb,Balhaar Jha,balhaar_jha@gmail.com,+915918304291,Madanapalle,2022-03-06,False,Indo-Chinese,68,3.62
7efaca39-d765-4297-a733-ae92964d0b74,Irya Dugal,irya_dugal@gmail.com,+916548060159,Sasaram,2020-09-02,True,Indo-Chinese,19,4.11
1884f34d-42b7-4eca-8f9d-f4d219765c8a,Shaurya Madan,shaurya_madan@gmail.com,04293546545,Kulti,2021-03-26,False,Indian,38,4.06
cd75ead5-81c1-47fb-83f3-3e8c4f502708,Gopal Nagar,gopal_nagar@gmail.com,+912928470636,Karnal,2020-03-02,True,Indian,81,4.98
e31863b8-5342-439a-a11b-fae5208b0c70,Vaishnavi Naidu,vaishnavi_naidu@gmail.com,05964077953,Mau,2022-08-19,True,Italian,70,4.35
20c11160-3f59-4822-8965-f0e1cc82cfdd,Charles Rau,charles_rau@gmail.com,02478161501,Bhimavaram,2024-06-04,False,Mexican,27,4.87
9451012d-0281-46a4-bd06-e4f470418b9c,Tara Bera,tara_bera@gmail.com,+913415267239,Kakinada,2022-03-29,True,Indian,47,4.96
7cddb694-08ad-464c-ad65-7870c5692e72,Deepa Ahluwalia,deepa_ahluwalia@gmail.com,2637828157,Rampur,2022-05-19,False,Asian,18,3.18
20605669-8cdb-4438-9b0e-f76df459e267,Ranbir Johal,ranbir_johal@gmail.com,2573522761,Ahmedabad,2022-03-26,False,Indo-Chinese,35,3.52
49160028-ec18-4721-a33e-88e55e666b0a,Vamakshi Dalal,vamakshi_dalal@gmail.com,+914357315618,Varanasi,2020-07-31,False,Asian,10,4.01
dec6421f-03fa-4b18-82c8-014bbdaff295,Advaith Barad,advaith_barad@gmail.com,09006885982,Haldia,2020-11-07,False,Indo-Chinese,51,4.37
6ebe29d0-c0dc-4ec9-bdfb-d5b58e5bf33c,Krisha Dass,krisha_dass@gmail.com,5196040351,Jaunpur,2020-05-11,True,Indo-Chinese,30,4.01
177f7261-45aa-4d9c-9342-bdfb4abd9277,Lohit Chanda,lohit_chanda@gmail.com,+919214102052,Hindupur,2023-04-03,False,Italian,58,4.34
49d95622-b5f7-4f86-8417-c89045f21773,Yashoda Halder,yashoda_halder@gmail.com,+915392916626,Tinsukia,2020-01-29,True,Mexican,41,4.18
acbebf6e-a372-489f-9193-a12b85c9b203,Gauri Sathe,gauri_sathe@gmail.com,8121124652,Navi Mumbai,2024-03-31,True,Asian,24,4.73
e899af03-5506-42ef-982b-ddccd0fd536e,Ijaya Soni,ijaya_soni@gmail.com,4544449209,Varanasi,2024-05-23,True,Mexican,85,3.82
cae6a674-1985-4f22-ba96-64c4d1e3e8e4,Ira Chand,ira_chand@gmail.com,+910139741324,Korba,2021-08-04,False,Chinese,84,3.47
7f073e7d-e65f-43de-b3ba-6aaf2b856a17,Banjeet Apte,banjeet_apte@gmail.com,08063581229,Bellary,2022-01-08,False,Indo-Chinese,26,3.14
82fc3fbb-9e97-465c-a35e-8068036cb586,Nandini Barman,nandini_barman@gmail.com,7420369039,Bhatpara,2024-09-28,False,Indo-Chinese,8,4.42
47956a20-63de-4367-9d8d-dba036752668,Dev Bains,dev_bains@gmail.com,7138759420,Danapur,2020-12-18,True,Italian,74,4.51
20e2913a-6506-4359-b124-1b9638a66f48,Arjun Rattan,arjun_rattan@gmail.com,+912252794356,Tumkur,2022-08-19,False,Mexican,7,4.98
87c7c893-1b62-4477-8e6b-2cd581e53b99,Abha Nadig,abha_nadig@gmail.com,+917046659990,Farrukhabad,2023-11-06,True,Indian,74,5.0
1f30f392-2750-41fd-8c5b-5bbb3bd441c2,Mohini Issac,mohini_issac@gmail.com,+914126686167,Kamarhati,2023-12-29,False,Mexican,26,3.8
3853c236-0f0c-49c6-9ca5-55959c33bc71,Yash Desai,yash_desai@gmail.com,+914670445761,Rampur,2020-07-11,True,Italian,74,3.35
b0de9e29-3e72-439a-b3ad-25517a73cd33,Ekta Vig,ekta_vig@gmail.com,02552190741,Navi Mumbai,2021-11-14,True,Indian,1,4.34
5b7ba70f-7ea0-4d84-9d7c-a7b3418a5f78,Atharv Sinha,atharv_sinha@gmail.com,7538899584,Darbhanga,2023-09-11,True,Chinese,84,4.29
